Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand
Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,,1.75,Maruti
Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,,12.5,Hyundai
Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.61,4.5,Honda
Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,6.0,Maruti
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,,17.74,Audi
Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,,2.35,Hyundai
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,,3.5,Nissan
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,21.0,17.5,Toyota
Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,,5.2,Volkswagen
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,,1.95,Tata
Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,10.65,9.95,Maruti
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,,4.49,Honda
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,,5.6,Maruti
Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,,27.0,Land
Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,,17.5,Land
Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,32.01,15.0,Mitsubishi
Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,5.4,Honda
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,5.99,Maruti
Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,,6.34,Renault
Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,,28.0,Mercedes-Benz
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,47.87,18.55,BMW
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,,8.25,Maruti
Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,,23.5,Audi
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,1.87,Hyundai
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,,2.85,Volkswagen
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,,4.25,Honda
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,,4.25,Nissan
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,,2.75,Maruti
Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10.57,9.9,Honda
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,,4.0,Toyota
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,,7.75,Renault
Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,,6.75,Toyota
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,,12.5,Mahindra
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,,11.5,Audi
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,12.33,6.98,Volkswagen
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,,1.85,Maruti
Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.12,8.63,Maruti
Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,,4.85,Mahindra
Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,,28.0,Mercedes-Benz
Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,5.0,Volkswagen
Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,,1.25,Maruti
Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,,1.53,Tata
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,,5.58,Mahindra
Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,,4.74,Hyundai
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,23.64,8.85,Hyundai
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,,10.11,Toyota
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,,4.25,Hyundai
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,18.64,10.95,Toyota
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,3.85,Hyundai
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,,5.5,Mahindra
Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,,21.43,Audi
Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,4.25,Maruti
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,,3.3,Maruti
Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,3.85,Maruti
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,,3.6,Hyundai
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,,3.99,Volkswagen
Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,,3.3,Renault
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.07,Hyundai
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,,7.75,Nissan
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,,2.25,Maruti
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,19.34,16.5,Toyota
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.75,Ford
Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,,26.7,Mercedes-Benz
Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,,10.0,Mercedes-Benz
Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,,2.5,Tata
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,,13.5,Audi
